,Objra,Objdec,mangaid,plateifu,nsa_z,SDSS_RA_deg,SDSS_DEC_deg,SDSS_z,DR16_match_sep2d_deg,DR16_match_sep2d_arcsec
8,132.912768243,57.1074235568,1-48136,10001-3702,0.0256063,132.91273498535156,57.1074333190918,0.025606319308280945,2.0530589640716063e-05,0.07391012270657783
268,117.993013365,15.7114103805,1-412058,10217-6103,0.0470016,117.99299621582031,15.711414337158205,0.04700159281492233,1.6975984077608422e-05,0.06111354267939032
1852,202.20397413,53.4429206757,1-195979,11758-1901,0.025356574,202.2039794921875,53.44290542602539,0.02535657398402691,1.5580539721925694e-05,0.056089942998932496
1887,192.768551758,48.4085748066,1-283903,11760-1902,0.049425263,192.7685089111328,48.40855407714844,0.04942526295781136,3.519486455642531e-05,0.1267015124031311
1972,214.930148646,49.2366458158,1-320796,11827-1902,0.02552837,214.93011474609372,49.23664855957031,0.025528369471430782,2.2303888249193077e-05,0.08029399769709508
3708,18.4372944739,15.6834265206,1-40810,12094-1901,0.04427569,18.4372673034668,15.683412551879885,0.044275689870119095,2.9654882522487524e-05,0.10675757708095508
5705,163.219110122,43.4284044416,1-255878,8254-1902,0.0242371,163.21913146972656,43.42839813232422,0.024237124249339104,1.673809308870492e-05,0.06025713511933772
5940,247.304125164,41.1508723641,1-633990,8312-12704,0.0295927,247.3041229248047,41.1508903503418,0.029592674225568768,1.8065096690528238e-05,0.06503434808590165
6820,198.189163092,46.9349872724,1-284526,8465-9102,0.0276805,198.18911743164062,46.93498992919922,0.02768054790794849,3.129115373988829e-05,0.11264815346359784
7078,247.674430234,40.5293893805,1-135054,8550-12703,0.0298122,247.6744537353516,40.52939224243164,0.029812201857566837,1.8090549984330496e-05,0.06512597994358979
7252,241.033211453,47.3496584526,1-134399,8565-1902,0.0421768,241.033203125,47.349693298339844,0.04217683151364327,3.529960795140963e-05,0.12707858862507465
7459,221.43798422,51.5808196479,1-631278,8595-3703,0.0296268,221.4379730224609,51.58081436157226,0.02962679415941238,8.738575523831571e-06,0.03145887188579365
9872,121.920806254,39.0042388809,1-122304,9183-3703,0.0233453,121.92080688476562,39.00424575805664,0.023345274850726128,6.894602802799139e-06,0.0248205700900769
11265,251.128190301,19.9407630418,1-294332,9894-3703,0.0229775,251.12814331054688,19.940757751464844,0.022977454587817192,4.4488842061470734e-05,0.16015983142129464
